title,summary,"Factual Accuracy / Faithfulness: “The summary’s claims are correct and do not invent facts or misattribute statements.”
","Coverage / Salience: The summary captures the article’s main points and most important details, not just trivia.",Coherence / Structure: The summary is well-organized and easy to follow; ideas flow logically,Conciseness: The summary conveys the key points with minimal redundancy or fluff
When_Fine-Tuning_LLMs_Meets_Data_Privacy__An_Empirical_Study_of_Federated_Learning_in_LLM-Based_Program_Repair.pdf,"- The paper investigates privacy-preserving collaboration for LLM-based automated program repair (APR) by applying federated learning to fine-tune models on private, decentralized code data. 
- It uses a private industrial dataset (TutorCode) for fine-tuning and the EvalRepair-Java benchmark for evaluation, comparing federated fine-tuning against centralized learning and baselines. 
- The framework employs parameter-efficient methods (QLoRA/LoRA) with 4-bit NF4 quantization, sharing only adapters and aggregating them via FedAvg to protect data privacy and reduce communication costs. 
- The study explores data heterogeneity (Non-IID feature skew in code) and multiple federated algorithms, including client-side, server-side, and personalized learning approaches. 
- Results show federated fine-tuning can significantly boost program repair performance (up to 16.57% Top@10 and 18.44% Pass@10), approaching centralized fine-tuning performance, with code heterogeneity having negligible negative impact and sometimes yielding substantial gains (18.41% Top@10, 21.46% Pass@10). 
- Among federated algorithms, FedAvg provides the best overall performance, personalized learning remains challenging for LLM fine-tuning, and the authors release an open artifact to support replication and practical adoption.",5,4,4,3
"Ai-powered,_but_power-hungry__energy_efficiency_of_llm-generated_code.pdf","The paper evaluates energy efficiency and performance of LLM-generated code across Python, Java, and C++, on macOS and Ubuntu, using GitHub Copilot, GPT-4o, and OpenAI o1-mini, over 53 hard LeetCode problems with 159 human baseline solutions and 477 LLM-generated solutions. Energy, runtime, and correctness are measured by synchronized runs using powermetrics and perf, with multiple repetitions to ensure reliable data. The key findings show LLMs perform best in Python, achieving higher pass@1 accuracy and often comparable or better energy usage than human-written baselines, while Java and especially C++ results generally show increased energy consumption. Among models, o1-mini improves accuracy across tasks but tends to consume more energy than GPT-4o and Copilot; Copilot is typically the most energy-efficient for Python and Java, whereas GPT-4o shines for C++. Algorithmic techniques and data structures matter: strings and trees are typically efficient and accurate, while sorting, graphs, and greedy approaches pose more challenges and higher energy demands, with recursion also increasing energy in some languages. The energy results are highly correlated across platforms, indicating portability of findings, and the authors provide a replication package to enable further study and emphasize that energy efficiency should be a consideration in AI-assisted code generation.",5,3,5,4
Leveraging_Generative_AI_to_Enhance_Automated_Vulnerability_Scoring.pdf,"The paper addresses automated vulnerability scoring by leveraging Generative AI to improve the quality of vulnerability descriptions, which strongly affects ML accuracy in predicting CVSS base metrics. It proposes a novel pipeline (FNT-BERT-CNN) that first uses a fine-tuned GPT-3.5Turbo to generate template-adherent vulnerability descriptions, then applies a fine-tuned BERT tokenizer per metric followed by a CNN classifier to predict each CVSS base metric and compute the overall severity. The authors create a template-based synthetic dataset from the original NVD descriptions (6,370 items) by fine-tuning GPT-3.5Turbo on a small set of CVE-template samples. Experimental results show that FNT-BERT-CNN outperforms baseline models (BERT-LSTM, BERT-TextRNN-ATT, BERT-Text-CNN) on both original and template-generated descriptions, with near-perfect accuracies on many metrics and strong precision across parameters. They find that template-based (GPT-generated) descriptions generally improve performance, though some metrics on original data are better for certain models, indicating the model-architecture and data quality both influence results. The paper concludes that standardizing descriptions with Generative AI can significantly boost vulnerability classification accuracy, while noting limitations such as data quality, computational requirements, and dependence on templates, and suggests future work on richer templates and broader parameter coverage.",5,4,5,5
Bridging_HCI_and_AI_Research_for_the_Evaluation_of_Conversational_SE_Assistants.pdf,"The paper argues that evaluating LLM-based conversational software engineering (SE) assistants requires automatic, human-centered methods due to the cost and scalability limits of traditional user studies. It proposes bridging HCI and AI by combining simulated users (for realistic, diverse, multi-turn interactions and qualitative feedback) with LLM-as-a-Judge (for scalable quantitative metrics). The authors outline four requirements for automatic evaluation (realistic conversations, diversity, quantitative metrics, and qualitative insights) and discuss how simulated users and LLM-as-a-Judge can address them. Their method involves creating representative personas, generating simulated-user interactions with the assistant per persona, collecting qualitative feedback, and then using LLM-as-a-Judge to produce quantitative assessments, all to complement—not replace—human studies. They acknowledge challenges such as creating representative personas, mitigating biases, and handling context with retrieval-augmented generation, plus the influence of design choices like prompts and temperature. The authors conclude that the combined approach can expand the scale, scope, and frequency of evaluation while remaining aligned with human judgments, though it requires validation against real user studies.",5,5,5,5
Automated_Vulnerability_Score_Prediction_through_Lightweight_Generative_AI.pdf,"The article presents an architecture for automated vulnerability scoring that combines generative AI with lightweight transformers to deliver an efficient CVSS predictor. It uses a two-phase approach: first, LLMs (GPT-3.5-Turbo, Claude3 Haiku, Claude1.2 Instant) augment NVD vulnerability descriptions to strictly follow the MITRE CVE template, improving data quality and robustness for modeling; second, a suite of fine-tuned, lightweight BERT models (TinyBERT, DistilBERT, BERTsmall, MediumBERT, BERT) predict CVSS base metrics on the augmented data, with per-metric training via a probabilistic learning approach. The study evaluates on 137,546 original descriptions and three LLM-generated augmented datasets, assessing accuracy, precision, recall, F1, Cohen’s Kappa, MAE, and MSE across metrics such as AV, AC, PR, UI, S, C, I, and A. Results indicate GPT-3.5-Turbo provides the strongest descriptive quality, Claude3 Haiku offers higher recall, and BERT variants generally outperform DistilBERT and TinyBERT, with BERT and BERTsmall achieving strong overall accuracy. The proposed pipeline achieves a favorable accuracy-time trade-off, performing well against state-of-the-art approaches that use many data sources while relying on a single public dataset and a lightweight model stack. The authors claim novelty in addressing out-of-template vulnerability descriptions with LLMs and highlight a scalable, data-efficient workflow for automated vulnerability scoring.",5,4,4,3
Learning_Game-Playing_Agents_with_Generative_Code_Optimization.pdf,"- The article presents a generative optimization framework where Atari game-playing policies are coded as modular Python programs and refined by large language models via the Trace framework. 
- Policies consist of trainable functions annotated with traces, enabling execution-grounded optimization and human-interpretable behavior, with object-centric representations used for the game state. 
- An LLM optimizer (OptoPrime) iteratively updates the policy code using execution traces and natural-language feedback, treating the policy itself as the object of optimization. 
- To tackle long-horizon, sparse-reward tasks, the approach uses staged, game-aware feedback and longer evaluation rollouts to improve credit assignment. 
- Empirically, the method achieves performance competitive with open-source deep RL baselines on Pong, Breakout, and Space Invaders while requiring significantly less training time and environment interactions. 
- Limitations include occasional unstable edits from the LLM and sensitivity to prompts and context window constraints, but the work demonstrates the potential of programmatic policy representations for efficient, interpretable, long-horizon agents.",5,4,4,5
Autopresent__Designing_structured_visuals_from_scratch.pdf,"Autopresent introduces SLIDES BENCH, the first benchmark for NL-to-slide generation, with 7k training and 585 test examples drawn from 310 slide decks across 10 domains, plus reference-based and reference-free evaluation schemes. The authors advocate generating slides via program synthesis: an NL instruction is converted into a Python program (using python-pptx), with a SLIDES LIB that provides modular functions to reduce program length and improve controllability. They present AUTOPRESENT, an 8B open-source model fine-tuned on SLIDES BENCH to produce editable PPTX slides, and show that iterative refinement can further improve results. Experiments reveal that end-to-end image-generation approaches struggle to produce truly structured slides, whereas code-generation methods with SLIDES LIB—especially AUTOPRESENT—achieve quality comparable to GPT-4o, with small models lagging far behind. Evaluation combines reference-based and reference-free metrics along with executability to assess both content accuracy and design quality. The work acknowledges limitations (focus on single slides, not full decks) and outlines future directions like interactive deck generation and animations, while releasing code, data, and demos publicly.",5,4,3,4
Correctness_Assessment_of_Code_Generated_by_Large_Language_Models_Using_Internal_Representations.pdf,"OPENIA is a white-box framework that uses in-process internal representations from code LLMs during generation to assess the correctness of the produced code. It extracts hidden states from the final generated token across layers and trains a lightweight probing classifier to predict whether the code passes predefined tests. In experiments on HumanEval, MBPP, and DevEval with several open-source code LLMs, OPENIA consistently outperforms post-hoc classifiers and LLM-as-a-judge baselines, delivering up to 2x higher accuracy in standalone tasks and up to 3x higher F1 in repository-level tasks. The study shows that the last-layer representations of the final token provide strong signals, and that shorter code is easier to assess while longer code can benefit from richer context. OPENIA enables early, in-process correctness checks and supports correctness-guided code generation (CG2), offering potential reductions in debugging costs and improvements in QA for AI-assisted coding. However, it yields binary correctness without error localization, and some dynamic issues (e.g., index-out-of-range) remain challenging; results may also depend on language and task. Overall, the work demonstrates that internal signals in LLMs encode reliability information that can be leveraged for proactive, robust code quality assurance.",5,5,5,5
Leveraging_Human_Insights_for_Enhanced_LLM-based_Code_Repair.pdf,"The article proposes a framework to improve LLM-based code repair by injecting human-inspired mechanisms: mining commit histories for reusable fix patterns, using dynamic feedback loops with automated tests and static analysis plus optional human guidance, and reasoning over historical context with structured representations. It leverages multi-view code interpretations (AST, CFG, PDG) embedded into a Code Property Graph (CPG) to capture structural and semantic information, storing repair experiences as vectors in a knowledge base V that link code structures to patches and outcomes. For a new buggy code, the system retrieves the most similar past experiences based on the CPG embedding, builds a temporary state graph from structural relations, and uses structure-guided reasoning to derive an initial patch p0 inspired by historical fixes. An iterative refinement loop then updates patches using automated feedback f(p) and optional human critiques h, stopping when the patch passes criteria or after a maximum number of iterations. The authors plan evaluation on benchmarks like SVEN and PrimeVul, focusing on correctness, quality, and efficiency, with future work including empirical validation, broader bug types, dynamic analysis feedback, and scalability improvements. Overall, the approach aims to combine human-like reasoning, historical context, and iterative refinement to produce higher-quality patches more efficiently.",4,4,4,4
Leveraging_Open-Source_LLMs_for_Zero-Shot_Vulnerability_Detection__A_Comparative_Analysis.pdf,"- The article evaluates open-source LLMs for zero-shot vulnerability detection in C/C++ and compares them with traditional SAST tools and deep-learning methods using the MVFSC dataset and a newly introduced MVFSC Test Set of real-world vulnerabilities to test generalization. 
- Three open LLMs (CodeGeex 9B, QwenCoder 2.5 14B, CodeLlama 34B) are prompted in a zero-shot setup to classify code as vulnerable or not, without any task-specific fine-tuning. 
- Deep learning models (VulBERTa-MLP/TextCNN and VulDetectionGNN) are fine-tuned on MVFSC, and the MVFSC Test Set is used to assess generalization to unseen, realistic cases. 
- Results show traditional SAST tools perform poorly on the test set; DL models struggle to generalize, though graph-based approaches like VulDetectionGNN fare relatively better, and larger LLMs (CodeLlama 34B) provide improved recall and F1 in zero-shot. 
- The study concludes vulnerability detection remains intrinsically challenging in realistic contexts, highlighting the need for robust benchmarks and hybrid approaches that combine graph-based representations, DL, and LLM prompting, along with better-quality data and training strategies. 
- Their contributions include a systematic comparison across approaches, zero-shot LLM evaluation, and the introduction of a real-world MVFSC Test Set for benchmarking.",4,4,4,4
Fea-bench__A_benchmark_for_evaluating_repository-level_code_generation_for_feature_implementation.pdf,"FEA-Bench is a new benchmark designed to evaluate large language models on repository-level incremental code development, specifically feature implementation by adding new components, with unit tests, drawn from 83 Python GitHub repos (1,401 task instances). Each task includes a feature request, signatures of new components, environment setup, a patch, and unit tests, requiring models to both generate code for new components and edit existing repository code. Tasks are filtered to ensure true feature-implementation aims (new components occupy a substantial portion of edits) and are validated by intent classification and test success after applying the gold patch. Compared with SWE-bench, FEA-Bench tasks are more complex, longer, and emphasize introducing new functionality rather than bug fixes. Experiments show that larger models and advanced bases outperform smaller ones, with Oracle retrieval generally superior to BM25, and natural edits (as opposed to direct patch generation) yielding higher success rates; however, the best-resolved rate is only about 10%, indicating substantial challenges in repository-level feature development. The study acknowledges limitations (Python-only data, data quality constraints, high compute cost, single-round evaluation) and calls for improved retrieval, editing formats, and broader model support, with data and code to be publicly released.",5,4,5,5
Towards_detecting_prompt_knowledge_gaps_for_improved_llm-guided_issue_resolution.pdf,"The paper analyzes 433 developer-ChatGPT GitHub issue conversations to understand how prompt knowledge gaps and conversation styles affect issue resolution. It identifies four prompt gaps (Missing Context, Missing Specification, Unclear Instructions, Multiple Context) and seven conversation styles, refined to six styles plus Directive Prompting, with Missing Context being the most common gap. Open issues show more gaps (44.6%) than closed issues (12.6%), and gaps persist across styles, though closed issues tend to progress more with added context and iterative prompting. The authors propose three heuristics—Specificity, Contextual Richness, and Clarity—based on textual and code-related metrics to automatically measure prompt gaps, and they demonstrate their association with successful resolution via logistic regression. They also provide a lightweight browser-extension prototype that flags prompt gaps and offers structured templates, achieving about 62% cross-validated accuracy and highlighting features like misspellings, readability, mean code snippet size, and entailment as influential. Overall, the work contributes a labeled dataset and taxonomies, validates practical heuristics for gap detection, and points to tooling that can help developers craft clearer, more context-rich prompts to improve LLM-guided issue resolution.",5,5,4,4
Measuring_and_Improving_the_Efficiency_of_Python_Code_Generated_by_LLMs_Using_CoT_Prompting_and_Fine-Tuning.pdf,"The study evaluates the efficiency of Python code generated by three OpenAI LLMs (GPT-4o-Mini, GPT-3.5-Turbo, GPT-4-Turbo) on greedy problems from the EffiBench dataset, running experiments across multiple Google Vertex AI VM configurations and measuring average execution time (AET), average memory usage (AMU), and average max memory usage (AMMU) while checking correctness. It compares two prompting strategies (Standard vs Chain-of-Thought, CoT) and also investigates the effect of a fixed seed, plus a fine-tuning experiment on GPT-4o-Mini using a 243-problem subset. The results show CoT prompting improves efficiency for GPT-4o-Mini and GPT-3.5-Turbo (lower AET and memory) without sacrificing correctness, but GPT-4-Turbo either gains little or reduces correctness with CoT. The fixed seed generally helps reduce memory and time in many configurations, though not universally. Fine-tuning GPT-4o-Mini unexpectedly degrades both accuracy and efficiency, suggesting fine-tuning may be detrimental for this task. The authors conclude that pairing high-CPU VM configurations with GPT-4o-Mini and CoT prompting yields the most efficient and accurate LLM-generated Python code for compute-intensive scenarios.",5,4,4,5
SelfCodeAlign__Self-Alignment_for_Code_Generation.pdf,"SelfCodeAlign is a fully transparent, permissive pipeline for self-aligning code LLMs without human annotation or distillation. It begins by collecting high-quality seed Python functions from The Stack V1, extracting coding concepts, and using the base model to self-generate diverse tasks through in-context learning (Self-OSS-Instruct). For each instruction, the model then produces multiple responses paired with test cases, which are executed in a sandbox to filter out failures and retain only passing instruction–response pairs for fine-tuning. Trained on a 74k synthetic dataset, CodeQwen1.5-7B with SelfCodeAlign achieves 67.1 pass@1 on HumanEval+, outperforming larger models and prior distillation-based methods. The approach outperforms GPT-3.5/Turbo- and GPT-4o-based distillation methods (OSS-Instruct, Evol-Instruct) and direct distillation, and generalizes across model sizes from 3B to 33B. Ablation studies show the importance of seed quality, concept generation, and execution filtering, with findings that models learn best from data in their own distribution rather than from a stronger but shifted teacher. The authors also release the generated datasets publicly and demonstrate cross-model effectiveness, including contributing to StarCoder2-Instruct.",5,5,5,4
Coast__Enhancing_the_code_debugging_ability_of_llms_through_communicative_agent_based_data_synthesis.pdf,"This paper presents DEBUG EVAL, a comprehensive benchmark for evaluating LLM-driven code debugging across four tasks—Bug Localization, Bug Identification, Code Repair, and Code Recognition—using buggy code from humans and GPT-4 in Python, C++, and Java. It finds that 7B-scale models consistently underperform larger models, highlighting challenges in mastering code semantics and multi-stage debugging. To improve data quality for fine-tuning, it introduces COAST (Communicative Agent-based data Synthesis), a three-agent framework with Code Quizzer, Code Learner, and Code Teacher that generates, critiques, and explains debugging problems to produce high-quality SFT data. Experiments show COAST-synthesized data substantially boost 7B-model debugging performance, enabling them to reach roughly GPT-3.5 levels, with NeuDebugger variants achieving the best overall results. The study also notes that Code Teacher’s chain-of-thought aids localization/identification/recognition but can hurt repair due to added noise, and that synthesized data benefits code-focused LLMs more than general ones. Limitations include reliance on the quality of the agents, and the authors provide open data and code to spur future improvements.",5,4,5,5
MORepair__Teaching_LLMs_to_Repair_Code_via_Multi-Objective_Fine-Tuning.pdf,"- The paper addresses limitations of prior LLM fine-tuning for program repair, which focus too much on syntax, require large datasets, and incur high compute costs. 
- It introduces MORepair, a multi-objective fine-tuning framework that trains models to both generate repaired code and explain the repair logic in natural language, teaching the model the underlying reasoning and enabling language-independent repair. 
- They assemble TutorLLMCode and use GPT-4 to generate detailed, structured repair guidance, augmenting human data, which allows effective learning from relatively small datasets. 
- The approach uses QLoRA adapters with LoRA and NEFTune, trains on TutorLLMCode, and evaluates on EvalRepair-C++/EvalRepair-Java plus repo benchmarks D4J-Repair and SWE-Bench, with a 2048-token context window. 
- Results show MORepair improves Top-1/5/10 repair performance by 11.4%–56.0% across open-source LLMs, e.g., CodeLlama-13B-instruct gains of 18.8% (C++) and 11.4% (Java), outperforming StdFT, Fine-tune-CoT, and RepairLLaMA. 
- Ablation studies indicate that jointly optimizing both objectives is superior, LLM-generated guidance provides richer repair reasoning than human-written guidance, and MORepair narrows the gap between small and large models; the authors also publish benchmarks and code.",5,5,3,5
Template-guided_program_repair_in_the_era_of_large_language_models.pdf,"The article proposes Neural Template Repair (NTR), a two-stage framework that combines template-based repair with large-language-model (LLM) code generation to improve automated program repair (APR). It splits the task into template selection (a multiclass classification problem) and patch generation (an NMT-style generation guided by the chosen templates), and introduces a special OtherTemplate to cover beyond-template and multi-hunk repairs. Template selection is trained with CodeT5-220M, using bug-fix pairs from the Transfer dataset, while patch generation uses billion-scale LLMs (StarCoder-15B or CodeLlama-70B) fine-tuned with an NMT workflow and a committable input format that includes bug code, the template, and the fixed code. Inference employs template prioritization and iterative patch generation to explore the patch space efficiently under memory constraints, rather than relying on very large beam sizes. Empirical results on Defects4J V1.2 and HumanEval-Java show that NTR substantially outperforms baselines, with StarCoder-based NTR achieving 128/129 fixes and CodeLlama-based NTR achieving 139/136 fixes, beating top APR tools and pure LLM baselines by notable margins. Ablation studies indicate the benefits of the two-stage design, the presence of OtherTemplate, and the ability to handle multi-hunk repairs, highlighting the value of template-guided generation. The authors also release fine-tuned models (StarCoder-15B and CodeLlama-70B) to promote open science and further research in template-guided APR.",5,5,5,5
