,title,Topics (MA),Topics (NS),Result
68,Measuring and Improving the Efficiency of Python Code Generated by LLMs Using CoT Prompting and Fine-Tuning,Code Generation,"LLM Reasoning and Rationale Generation, Code Optimization","Code Generation, LLM Reasoning and Rationale Generation"
69,When Faster Isn't Greener: The Hidden Costs of LLM-Based Code Optimization,Code Optimization,Code Optimization,Code Optimization
70,ECCO: Can We Improve Model-Generated Code Efficiency Without Sacrificing Functional Correctness?,"Code Generation, Code Optimization",Code Optimization,"Code Generation, Code Optimization"
71,LogUpdater: Automated Detection and Repair of Specific Defects in Logging Statements,"Automated Program Repair, Fault Localization",,"Automated Program Repair, Fault Localization"
72,Optimizing code runtime performance through context-aware retrieval-augmented generation,Code Optimization,Code Optimization,Code Optimization
73,RAG or Fine-tuning? A Comparative Study on LCMs-based Code Completion in Industry,Code Generation,Code Generation,Code Generation
74,LLM program optimization via retrieval augmented search,Code Optimization,Code Optimization,Code Optimization
75,DeCOS: Data-Efficient Reinforcement Learning for Compiler Optimization Selection Ignited by LLM,Code Optimization,Code Optimization,Code Optimization
76,Fea-bench: A benchmark for evaluating repository-level code generation for feature implementation,Code Generation,Code Generation,Code Generation
77,"Unlimited Practice Opportunities: Automated Generation of Comprehensive, Personalized Programming Tasks",Code Generation,Program Synthesis,Program Synthesis
78,Post-Incorporating Code Structural Knowledge into Pretrained Models via ICL for Code Translation,,"Code Generation, Program Synthesis",Code Generation
79,Acecoder: Acing coder rl via automated test-case synthesis,"Code Generation, Program Synthesis","Code Generation, Program Synthesis","Code Generation, Program Synthesis"
81,Codei/o: Condensing reasoning patterns via code input-output prediction,LLM Reasoning and Rationale Generation,LLM Reasoning and Rationale Generation,LLM Reasoning and Rationale Generation
82,"Kodcode: A diverse, challenging, and verifiable synthetic dataset for coding",Code Generation,Code Generation,Code Generation
83,M2rc-eval: Massively multilingual repository-level code completion evaluation,Code Generation,Code Generation,Code Generation
84,Brite: Bootstrapping reinforced thinking process to enhance language model reasoning,"Code Generation, LLM Reasoning and Rationale Generation",LLM Reasoning and Rationale Generation,"Code Generation, LLM Reasoning and Rationale Generation"
85,An empirical study on capability of large language models in understanding code semantics,"Code Summarization, Code Generation",Code Understanding and Graph Extraction,"Code Summarization, Code Generation"
86,LLM-KG-Bench 3.0: A compass for semantic technology capabilities in the ocean of LLMs,,,Code Generation
87,Bitsai-cr: Automated code review via llm in practice,Automated Code Review,Automated Code Review,Automated Code Review
88,DependEval: Benchmarking LLMs for Repository Dependency Understanding,Code Understanding and Graph Extraction,Code Understanding and Graph Extraction,Code Understanding and Graph Extraction
89,Question Selection for Multi-Modal Code Search Synthesis using Probabilistic Version Spaces,,,
90,HumanEval Pro and MBPP Pro: Evaluating Large Language Models on Self-invoking Code Generation,"Code Generation, Program Synthesis","Code Generation, LLM Reasoning and Rationale Generation","Code Generation, LLM Reasoning and Rationale Generation"
91,On Pretraining For Project-Level Code Completion,"Code Generation, Program Synthesis",Code Generation,Code Generation
92,Synthesizing Software Engineering Data in a Test-Driven Manner,Code Understanding and Graph Extraction,Code Generation,Code Generation
93,UCP: a unified framework for code generation with pseudocode-based multi-task learning and reinforcement alignment: Y. Wen et al.,Code Generation,Code Generation,Code Generation
94,Swe-bench multimodal: Do ai systems generalize to visual software domains?,"Automated Program Repair, Code Generation",Automated Program Repair,"Automated Program Repair, Code Generation"
95,Kernelbench: Can llms write efficient gpu kernels?,Code Generation,Code Optimization,Code Generation
96,ObscuraCoder: Powering Efficient Code LM Pre-Training Via Obfuscation Grounding,Code Generation,"Code Summarization, Code Understanding and Graph Extraction, Code Generation","Code Generation, Code Vulnerability Analysis, Code Summarization, Code Understanding and Graph Extraction"
97,EDITLORD: Learning Code Transformation Rules for Code Editing,Code Generation,Code Generation,Code Generation
98,Enhancing code llm training with programmer attention,"Code Generation, Code Summarization",,"Code Generation, Code Summarization"
99,Leveraging Human Insights for Enhanced LLM-based Code Repair,Automated Program Repair,Automated Program Repair,Automated Program Repair
100,Learning Game-Playing Agents with Generative Code Optimization,Code Optimization,,Code Generation
101,Investigating Reproducibility Challenges in LLM Bugfixing on the HumanEvalFix Benchmark,Automated Program Repair,Automated Program Repair,Automated Program Repair
102,Correctness Assessment of Code Generated by Large Language Models Using Internal Representations,"Code Generation, Program Synthesis",Code Generation,Code Generation
103,RECoRD: A Multi-Agent LLM Framework for Reverse Engineering Codebase to Relational Diagram,Code Understanding and Graph Extraction,Code Understanding and Graph Extraction,Code Understanding and Graph Extraction
104,Autopresent: Designing structured visuals from scratch,"Code Generation, Program Synthesis",Code Generation,Code Generation
105,Di-bench: Benchmarking large language models on dependency inference with testable repositories at scale,Code Understanding and Graph Extraction,Code Understanding and Graph Extraction,Code Understanding and Graph Extraction
106,Syncmind: Measuring agent out-of-sync recovery in collaborative software engineering,"Code Generation, Fault Localization",,
107,SWE-Dev: Building Software Engineering Agents with Training and Inference Scaling,Code Generation,Code Generation,Code Generation
108,Coding Agents with Multimodal Browsing are Generalist Problem Solvers,Code Generation,Code Generation,Code Generation
109,CodeV: Issue Resolving with Visual Data,Automated Program Repair,"Automated Program Repair, Code Generation","Automated Program Repair, Code Generation"
110,ELABORATION: A Comprehensive Benchmark on Human-LLM Competitive Programming,,,
